Bee_Scientific_Name,Bee_Common_Name,Bee_Abstract
Osmia lignaria,blue orchard bee,"The blue orchard bee has a deep metallic blue-green color. They have light-colored hairs on their face, thorax, and abdomen. Females carry pollen on the underside of their abdomen in a special group of hairs called a scopa. These bees live for four to eight weeks in early spring. Males emerge first, wait for the females to appear, and then mate. After mating, females build nests in preexisting cavities in wood or pithy plant stems. They use mud to create separate sections for each egg, laying female eggs at the back of the nest and male eggs toward the front. These bees are present from March through June and are widespread across North America."
Osmia montana,Montana mason bee,"Montana mason bees are dark black with a subtle blue shine. Their thorax and abdomen are dark with deep blue highlights and black hair. They have large heads and very long jaws. These bees build their nests in existing wooden cavities. Montana mason bees mainly collect pollen from plants in the Asteraceae family, which might be a way to avoid parasitic bees. They can be found from April to June, ranging from British Columbia to Baja and east to Colorado."
Osmia ribifloris,currant orchard bee,"Currant orchard bees are medium-sized bees with a metallic blue-green color and black hair. They have wide jaws and a blue-green head and thorax covered in black, upright hair. Their abdomens are blue-green and don’t have hair bands. Males are a lighter shade of blue-green than females. These bees nest in existing cavities like old wasp nests or bee hotels, using chewed-up plant material to block off their nests. They are active from early spring through August and are often found on Oregon grape and manzanita. You can find them from Southern California to southern Oregon and east to Texas."
Perdita nevadensis,Nevada miner bee,"Nevada miner bees are small, dark bees with varying patterns. They have shiny, dark green-black heads with yellow markings on their faces. Their upper bodies are dark green and very shiny, with thin white hairs. Their abdomens are dark, almost black, with small yellow spots on the sides. These bees nest in the ground and can be found in Pacific states from June to August."
Protosmia rubifloris,pale-faced slender-mason,"The pale-faced slender mason is a small, nondescript black bee with white bands on their dark abdomen. They have a very long, projecting nose that hangs over their mouth. This is the only species of Protosmia that occurs in North America. They nest in pine cones and pieces of wood, and use pine resin to separate each nest cell. This bee can be found throughout the western United States, primarily in Washington, Oregon, and California. It prefers drier areas and can be seen from April to June."
Stelis montana,Montana cuckoo carder bee ,"The Montana cuckoo carder bee is a nest parasite of Osmia lignaria. This means that they lay their eggs in the nests of the other bees, so that their offspring can feed on their gathered pollen reserves. These bees are a dark midnight blue color with sparse, dark black hairs. They can be found throughout the western United States and southwestern Canada from May to July."
Tetraloniella pomonae,Pomona longhorn,"The Pomona longhorn bee has short, thick ochre-colored hair on its face and golden hair on its thorax. It has large, golden mandibles and a V-shaped abdomen with thin blackish-brown and golden-ochre stripes. This bee collects pollen on its hind legs, which have thick, golden pollen baskets. Males have long antennae, which is why they are called long-horned bees. These bees are solitary and build their nests in the ground, usually in sandy or loose soil. They mostly gather pollen from plants in the Asteraceae family."
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
